reason,uuid,survivor_uuid,kind,net_code,net,layer_or_span,width_or_size_mm,start_or_position_mm,end_mm,drill_mm,locked
exact_duplicate,d8a51657-9cc7-4f29-a954-c9fb7570ffe0,999122c3-ddcd-4b15-a85a-a5599cef6923,segment,177,VDDA_5,F.Cu,0.6,"[95.3, 43.3]","[95.2, 43.3]",,False
exact_duplicate,d8bb65cf-5ea2-4c52-92a9-60ffe4274b8b,85d04a3c-b569-4bd2-a989-0cf557b6f604,segment,94,INJECTOR_8,In3.Cu,2.0,"[49.7, 65.7]","[49.7, 65.6]",,False
exact_duplicate,d927b391-53f6-4c29-b688-c29b55b2b844,3d815414-1047-4776-aa2b-66f20cf1f656,segment,83,IAC,F.Cu,1.2,"[37.4, 38.6]","[37.5, 38.6]",,False
exact_duplicate,d9e859ce-4498-4003-af15-f0fd47683403,39408e5a-672e-4559-8a4e-f6a35f3d40ab,segment,170,TRANS_EPC,B.Cu,1.2,"[77.2, 40.8]","[77.3, 40.7]",,False
exact_duplicate,dadf0315-c05f-4352-a3fc-8ce55cbca6cf,6fd87b11-7936-4401-8f00-774a662f1b48,segment,176,VCC_5,B.Cu,0.6,"[76.7, 106.7]","[76.8, 106.8]",,False
exact_duplicate,daea9a44-baf2-49fd-a62e-d76919f14203,5c360311-ef36-45d0-940d-629617ce9457,segment,87,INJECTOR_1,In1.Cu,2.0,"[33.3, 129.1]","[33.4, 129.2]",,False
exact_duplicate,dbbddd28-8ef9-4226-8cb5-5cd3fd837ad6,7c612840-6f67-4923-a709-c3ec1a6be8f2,segment,116,MIL,In2.Cu,1.2,"[23.8, 148.4]","[23.7, 148.3]",,False
exact_duplicate,dc069ac4-5faa-4259-ab7d-8cbc3e768f79,b640b9c6-49d1-4343-9dfa-e5b7fad13076,segment,116,MIL,In4.Cu,1.2,"[22.8, 30.7]","[22.8, 30.1]",,False
exact_duplicate,dcab76be-e8ae-44b8-830c-d58ef17d2a30,2bf40187-d6f6-4e63-a8e0-92e78ff04a70,segment,1,ACTUATOR_12,F.Cu,4.0,"[44.5, 121.2]","[44.4, 121.3]",,False
exact_duplicate,dcf682f9-41c9-4d52-aaa5-ea7b4d79934d,24e397f7-1342-489b-a5fa-2ed562c684e4,segment,180,VREF_FILTER,In3.Cu,0.6,"[84.6, 54.9]","[84.7, 55.0]",,False
exact_duplicate,ddfe80a0-0254-4d36-beca-35adfc4be5b0,42026682-efbd-46ea-bceb-939cb2e10c1e,segment,116,MIL,In2.Cu,1.2,"[23.3, 148.2]","[23.4, 148.2]",,False
exact_duplicate,de89a1b1-0bf1-42a6-b488-ba234552d391,d9883d6c-33d5-4d37-9950-295cebb3c273,segment,116,MIL,In2.Cu,1.2,"[23.1, 148.1]","[23.2, 148.1]",,False
exact_duplicate,dee98b0c-093b-40d8-9ef6-1082fb5c10d1,74712352-3f71-4c7b-9731-9e949164710d,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[66.2, 15.8]","[66.4, 15.8]",,False
exact_duplicate,def09820-43f0-4f4d-b227-9c288db02d90,2153afbe-ba8d-4c14-8ad1-8657dfd6cd2b,segment,94,INJECTOR_8,In3.Cu,2.0,"[49.8, 69.9]","[49.7, 69.8]",,False
exact_duplicate,df1e75a9-6794-4bc2-9659-3d4c73d256a3,c8ed1382-3fe9-43b5-89f1-012f9383e632,segment,184,WB1_RELAY_LOW,B.Cu,1.2,"[68.7, 15.6]","[68.8, 15.5]",,False
exact_duplicate,e1bfc14f-0a9b-4446-b7aa-29f6ee22ca4f,dc666e2c-638d-4e64-abc3-c044fa2352ad,segment,1,ACTUATOR_12,In2.Cu,4.0,"[41.2, 57.8]","[41.2, 57.3]",,False
exact_duplicate,e1ff6648-2d25-4b35-9bb7-433e753f79c7,3b6a757c-9fe1-462e-a096-6685746225a1,segment,87,INJECTOR_1,In1.Cu,2.0,"[31.6, 125.9]","[31.6, 123.9]",,False
